group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1022333.0,ns,48
fib 20,,,,,2016541.0,ns,96
fib 20,,,,,3064041.0,ns,144
fib 20,,,,,3943625.0,ns,192
fib 20,,,,,4916541.0,ns,240
fib 20,,,,,5963541.0,ns,288
fib 20,,,,,6915000.0,ns,336
fib 20,,,,,7919916.0,ns,384
fib 20,,,,,9182375.0,ns,432
fib 20,,,,,9898416.0,ns,480
fib 20,,,,,10841666.0,ns,528
fib 20,,,,,11818333.0,ns,576
fib 20,,,,,12828916.0,ns,624
fib 20,,,,,13811625.0,ns,672
fib 20,,,,,14808166.0,ns,720
fib 20,,,,,15764125.0,ns,768
fib 20,,,,,16794708.0,ns,816
fib 20,,,,,17753625.0,ns,864
fib 20,,,,,18788750.0,ns,912
fib 20,,,,,19719208.0,ns,960
fib 20,,,,,20772458.0,ns,1008
fib 20,,,,,21686583.0,ns,1056
fib 20,,,,,23450541.0,ns,1104
fib 20,,,,,24428333.0,ns,1152
fib 20,,,,,24863166.0,ns,1200
fib 20,,,,,25664000.0,ns,1248
fib 20,,,,,26608083.0,ns,1296
fib 20,,,,,27816208.0,ns,1344
fib 20,,,,,28893125.0,ns,1392
fib 20,,,,,29838083.0,ns,1440
fib 20,,,,,30599166.0,ns,1488
fib 20,,,,,31921125.0,ns,1536
fib 20,,,,,32521916.0,ns,1584
fib 20,,,,,33516916.0,ns,1632
fib 20,,,,,34509708.0,ns,1680
fib 20,,,,,35499208.0,ns,1728
fib 20,,,,,36500875.0,ns,1776
fib 20,,,,,37602958.0,ns,1824
fib 20,,,,,38695250.0,ns,1872
fib 20,,,,,39484250.0,ns,1920
fib 20,,,,,40499000.0,ns,1968
fib 20,,,,,41735541.0,ns,2016
fib 20,,,,,42655791.0,ns,2064
fib 20,,,,,43778625.0,ns,2112
fib 20,,,,,44508458.0,ns,2160
fib 20,,,,,45390333.0,ns,2208
fib 20,,,,,46342958.0,ns,2256
fib 20,,,,,47417458.0,ns,2304
fib 20,,,,,48371541.0,ns,2352
fib 20,,,,,49653875.0,ns,2400
fib 20,,,,,50291958.0,ns,2448
fib 20,,,,,51649541.0,ns,2496
fib 20,,,,,52793625.0,ns,2544
fib 20,,,,,53211750.0,ns,2592
fib 20,,,,,54323041.0,ns,2640
fib 20,,,,,55190125.0,ns,2688
fib 20,,,,,56491208.0,ns,2736
fib 20,,,,,58582208.0,ns,2784
fib 20,,,,,58344791.0,ns,2832
fib 20,,,,,59531333.0,ns,2880
fib 20,,,,,60451916.0,ns,2928
fib 20,,,,,61317833.0,ns,2976
fib 20,,,,,62225833.0,ns,3024
fib 20,,,,,63220625.0,ns,3072
fib 20,,,,,64219333.0,ns,3120
fib 20,,,,,65391375.0,ns,3168
fib 20,,,,,66461583.0,ns,3216
fib 20,,,,,68472375.0,ns,3264
fib 20,,,,,68325041.0,ns,3312
fib 20,,,,,69035500.0,ns,3360
fib 20,,,,,70065500.0,ns,3408
fib 20,,,,,71494833.0,ns,3456
fib 20,,,,,72110166.0,ns,3504
fib 20,,,,,73488833.0,ns,3552
fib 20,,,,,74296500.0,ns,3600
fib 20,,,,,75177166.0,ns,3648
fib 20,,,,,77061250.0,ns,3696
fib 20,,,,,77264416.0,ns,3744
fib 20,,,,,78198750.0,ns,3792
fib 20,,,,,79397875.0,ns,3840
fib 20,,,,,80247583.0,ns,3888
fib 20,,,,,80871583.0,ns,3936
fib 20,,,,,81841333.0,ns,3984
fib 20,,,,,83296791.0,ns,4032
fib 20,,,,,84232500.0,ns,4080
fib 20,,,,,85484000.0,ns,4128
fib 20,,,,,85772041.0,ns,4176
fib 20,,,,,86804375.0,ns,4224
fib 20,,,,,88018333.0,ns,4272
fib 20,,,,,89041750.0,ns,4320
fib 20,,,,,90273208.0,ns,4368
fib 20,,,,,91036291.0,ns,4416
fib 20,,,,,91674125.0,ns,4464
fib 20,,,,,92993208.0,ns,4512
fib 20,,,,,93979208.0,ns,4560
fib 20,,,,,95174291.0,ns,4608
fib 20,,,,,95990125.0,ns,4656
fib 20,,,,,96666333.0,ns,4704
fib 20,,,,,97978000.0,ns,4752
fib 20,,,,,99095458.0,ns,4800
